Event name,URL,Event date,City,Country,Twitter ID,Contact page,Email
Blockchain Incredible Party BIP001,http://bip001.com/,"Jan, 26",Kyiv,Ukraine,,,anastasiya@distributedlab.com
Blockchain Connect,http://www.goblockchainconnect.com/,"Jan, 26",San Francisco,USA,,,contact@svinsight.com
World Blokchain and Cryptocurrency Summit,http://wbcsummit.org/,"Jan, 27",Moscow,Russia,,,info@wbcsummit.org
D10E Cayman Islands,http://d10e.biz/cayman-islands-2018/,"Jan, 27–30",Cayman,Islands,,,oana@d10e.biz
Blockchain for SCF Masterclass,https://bcrpub.com/events/blockchain-scf-masterclass?title=blockchain-for-scf-masterclass,"Jan, 30",Frankfurt,Germany,https://twitter.com/BCR_TRFNews,,info@bcrpub.com
Paris Fintech Forum,http://www.parisfintechforum.com/,"Jan, 30–31",Paris,France,https://twitter.com/ParisFinForum,,contact@parisfintechforum.com
Supply Chain Finance Summit,https://bcrpub.com/events/supply-chain-finance-summit?title=supply-chain-finance-summit,"Jan, 31.01–1.02",Frankfurt,Germany,https://twitter.com/BCR_TRFNews,,info@bcrpub.com
Cryptoassets Conference,https://cryptoassets.attendease.com/,"Feb, 1",Vancouver,Canada,https://twitter.com/cryptoassetsvan,,shannon@attendease.com
LAT Blockchain Economic Forum,https://latoken.com/,"Feb, 4–6",,Singapore,,,info@latoken.com
Blockchain2Business Conference,https://www.blockchain2business.eu/,"Feb, 5–6",Amsterdam,Netherlands,,,leoncio@solarplaza.com
Blockchain Middle East Forum,https://blockchainme.iqpc.ae/,"Feb, 5–6",Dubai,UAE,https://twitter.com/iqpcmena,,ashwin.lobo@iqpc.ae
Blockchain Dev Conference,http://www.developerweek.com/conference/blockchain-dev-conference/,"Feb, 5–6",San Francisco,USA,https://twitter.com/developerweek,http://www.developerweek.com/about/contact/,
Fintech World Blockchain & Tokenomics,https://2020fintech.com/,"Feb, 7",New York,USA,,,info@2020fintech.com
Blockchain & Bitcoin Conference Gibraltar,https://gibraltar.bc.events/,"Feb, 8",Gibraltar,SPAIN,https://twitter.com/Blockchain_Conf,https://gibraltar.bc.events/#contacts,a.kozlova@smileexpo.eu
Blockchain for Clinical Trials Forum,https://blockchain.ieee.org/clinicaltrialsforum-2018/,"Feb, 12",Orlando,USA,https://www.twitter.com/ieeesa,,mostafa.m.k@ieee.org
Blockchain & Bitcoin Conference,https://spb.bc.events/ru,"Feb, 13",Saint Petersburg,Russia,https://twitter.com/Blockchain_Conf,,client@smile-expo.com
"Blockchain, IoT & Machine Learning in Oil & Gas",https://www.iotinoilandgas-canada18.com/home,"Feb, 13–14",Calgary,Canada,,,symon.rubens@energyconferencenetwork.com
The Blockchain Event,http://www.theblockchainevent.com/east/,"Feb, 14–16",Fort Lauderdale,USA,https://twitter.com/BlockchainEvent,http://www.theblockchainevent.com/east/contact.aspx,
Anarchapulco,https://anarchapulco.com/,"Feb, 15–18",Acapulco,Mexico,https://twitter.com/anarchapulco,https://anarchapulco.com/contact/,info@anarchapulco.com
D10E Silicon Valley,http://d10e.biz/silicon-valley-2018/,"Feb, 15–18",Redwood city,USA,,,oana@d10e.biz
DUBAI Fx and Cryptocurrency & ICO Show,http://arabcomgroup.com/DubaiCryptoexpo.com/,"Feb, 16–17",Dubai,UAE,,,vp@arabcomgroup.com
"Bitcoin, Ethereum - Blockchain Superconference",https://www.bitcoinsuperconference.com/,"Feb, 16–18",Dallas,USA,,,press@bitcoinsuperconference.com
BlockDelhi,https://www.blackarrowconferences.com/blockdelhi.html,"Feb, 20–21",New Delhi,India,,,sarfraz@blackarrowconferences.com
Blockchain & Bitcoin Conference Geneva,https://switzerland.bc.events/,"Feb, 21",Geneva,Switzerland,https://twitter.com/Blockchain_Conf,https://switzerland.bc.events/,
Digital Integration in Wealth Management,http://www.arena-international.com/wealthmanagement/,"Feb, 21–22",London,UK,,,vincent.beard@arena-international.com
Blockchain & Bitcoin Conference Bengaluru,https://india.bc.events,"Feb, 22",Bengaluru,India,https://twitter.com/Blockchain_Conf,,s.kokareva@smileexpo.eu
Blockchain Summit Singapore,http://www.unicomlearning.com/Blockchain_Summit_Singapore_2018/,"Feb, 22",Singapore,Singapore,https://twitter.com/Unicomlearning,,nitesh@unicomlearning.com
Blockchain and Cryptocurrency Conference,https://blockchain-conf.com/,"Feb, 22–24",Dallas,USA,https://twitter.com/blockchain_coin,,digitize@protonmail.com
Blockchain Summit Pune,http://www.unicomlearning.com/Blockchain_Summit_Pune_2018/,"Feb, 23",Pune,India,https://twitter.com/Unicomlearning,,nitesh@unicomlearning.com
Blockchain: Rewiring Governance Conference,http://www.blockchaincambridge.com/,"Feb, 24",Cambridge,UK,,,
Blockchain in Healthcare West Coast,https://www.blockchainhealthcare-west.com/,"Feb, 27",San Francisco,USA,,,
Blockchain & Smart Contracts Summit,https://blockchain-summit.iqpc.com/,"Feb, 27–28",Berlin,Germany,,,kevin.morris@iqpc.com
Gibraltar International FinTech Forum,https://gibfin.com/,"Feb, 28–01 March",Gibraltar,UK,,,marketing@gibfin.com
Blockchain & Bitcoin Conference Istanbul,https://turkey.bc.events/,"Mar, 1",Istanbul,Turkey,,,
Fintech World Annual Online Funding Summit,https://2020fintech.com/,"Mar, 5",Los Angeles,USA,,,info@2020fintech.com
Seamless Africa,http://www.terrapinn.com/exhibition/seamless-africa/index.stm,"Mar, 5–6",Cape Town,South Africa,,,sean.willis@terrapinn.com
2nd Annual Fintech Week Tel Aviv,https://www.telaviv.fintechweek.com/,"Mar, 5–7",Tel Aviv,Israel,,,luis@fintechweek.com
Blockchain Spring School 2018,http://blockchain.hs-mittweida.de/springschool_en.html,"Mar, 5–9",Mittweida,Germany,,,langhamm@hs-mittweida.de
Blockchain & Bitcoin Conference Bangkok,https://thailand.bc.events/,"Mar, 6",Bangkok,Thailand,,,
DC Blockchain Summit,https://digitalchamber.org/dc-blockchain-summit-2018/,"Mar, 6–8",Washington,USA,,,marie@digitalchamber.org
Finovate Europe,https://finance.knect365.com/finovateeurope/,"Mar, 6–9",London,UK,https://twitter.com/finovate,,daniel.burridge@knect365.com
KYC & AML Summit Europe,http://finance-edge.com/kycamleu/,"Mar, 7",London,UK,https://twitter.com/Finance_Edge,,info@eventcreationnetwork.com
Blockchain Summit Zurich,http://conferences.unicom.co.uk/blockchain-zurich-2018/,"Mar, 7–8",Zurich,Switzerland,,,info@unicom.co.uk
Blockchain Africa Conference,http://blockchainafrica.co/,"Mar, 8–9",Johannesburg,South Africa,https://twitter.com/BlockchainZA,,info@blockchainafrica.co
Crypto Investor Show 2018,https://www.cryptoinvestor.show/,"Mar, 10",London,UK,https://twitter.com/show_crypto,,info@cryptoinvestorshow.com
Seamless Expo,http://seamless-expo.com.au/,"Mar, 13–14",Sydney,Australia,,,
Money20/20 Asia,https://www.money2020.com/,"Mar, 13–15",Singapore,Singapore,https://twitter.com/money2020,,info@money2020.com
APAC Blockchain Conference,http://www.apacblockchain.com.au/,"Mar, 13–15",Melbourne,Australia,https://twitter.com/questevents_aus,,aleksz@questevents.com.au
Token Fest,https://www.tokenfest.io/,"Mar, 15–16",San Francisco,USA,https://twitter.com/tokenfest,,ryan@tokenfest.io
Blockchain Summit Bangalore,http://www.unicomlearning.com/Blockchain_Summit_Bangalore_2018/,"Mar, 16",Bangalore,India,https://twitter.com/Unicomlearning,,nitesh@unicomlearning.com
Blockchain & Cryptocurrency Conference,https://blockchain-conf.com/,"Mar, 16–17",Dallas,USA,https://twitter.com/blockchain_coin,,digitize@protonmail.com
Crypto World Investment Conference,https://www.coindesk.com/bitcoin-events/,"Mar, 19",New York,USA,,,marc@coindesk.com
"Disruption, Innovation and InsurTech Summit",,"Mar, 19–21",Amsterdam,The Netherlands,,,
ADI Caribbean Blockchain Summit,https://adisummit.com/,Mar 21–22,Montego Bay,Jamaica,,,emma@mymarketinghaus.com
Blockchain & Bitcoin Conference Tallinn,https://tallinn.bc.events/en,"Mar, 22",Tallinn,Estonia,,,
TechNOVA: Blockchain Summit,https://new.marketforce.eu.com/technova/events/blockchain-summit/,"Mar, 22",London,UK,,,conferences@marketforce.eu.com
World Blockchain Summit Nairobi,https://www.worldblockchainsummit.com/,"Mar, 22–23",Nairobi,Kenya,https://twitter.com/tresconglobal,,
Fintech World Silicon Valley Fintech Expo,https://2020fintech.com/,"Mar, 24",Los Angeles,USA,,,info@2020fintech.com
D10E Vilnius,http://d10e.biz/vilnius-2018/,"Mar, 24–27",Vilnius,Latvia,https://twitter.com/d10e_conference,,oana@d10e.biz
North American Digital Commodities Summit,,"Mar, 26",New York,USA,,,
Blockchain West,http://blockchainwest.com/san-francisco-2018/,"Mar, 27–28",San Francisco,USA,https://www.twitter.com/GSMIonline,,info@gsmiweb.com
World Blockchain Forum Dubai,https://dubai.keynote.ae/,"Mar, N/A",Dubai,UAE,,,moe@keynote.ae
Fintech World Blockchain & Tokenomics,https://2020fintech.com/,"Apr, 4",New York,USA,,,info@2020fintech.com
CRYPTOBLOCKCON 2018,,Apr 4–5,Los Angeles,USA,,,
CoinFest,http://coinfestuk.org/CF2018/,"Apr, 5–6",Manchester,UK,https://twitter.com/CoinFestUK,,adam@coinfestuk.org
LendItFintech USA,http://www.lendit.com/usa/2018,"Apr, 09–11",San Francisco,USA,https://twitter.com/lendit,,bladimir@lendit.com
BlockYard Conference,http://blockyardconference.io/,"Apr, 13",Gdańsk,Poland,https://twitter.com/BlockYard2018,,a.kochanska@adwellmedia.com
Seamless Middle East,https://www.terrapinn.com/template/live/add2diary.aspx?e=9347,"Apr, 15–16",Dubai,UAE,,,sean.willis@terrapinn.com
TRANSACT,http://www.electran.org/events/etatransact18/,"Apr, 17–19",Las Vegas,USA,http://twitter.com/etatransact,,azirkle@electran.org
Blockchain Expo Global,https://blockchain-expo.com/global/,"Apr, 18–19",London,UK,https://twitter.com/Blockchain_Expo,,enquiries@blockchain-expo.com
Synchronize: DLT for Financial Institutions,https://www.imn.org/investment-management/conference/Synchronize/,"Apr, 19",New York,USA,https://twitter.com/imn_investment,,amelvin@imn.org
BlockDev Conference,http://blockdevcon.com/,"Apr, 19–20",San Francisco,USA,,http://blockdevcon.com/about/contact-us/,
Global Blockchain Summit,https://globalblockchainsummit.com/,"Apr, 19–20",Denver,USA,https://twitter.com/gblockchain1,,info@globalblockchainsummit.com
Crypto Cannabis Conference,https://www.cryptocannabisconference.com/,"Apr, 23",Denver,USA,,https://www.cryptocannabisconference.com/contact/,
Startup Exchange,https://www.fintechchicago.com/stx,"Apr, 25",Chicago,USA,https://twitter.com/FinTechChicago,,colleen.sheeren@barchart.com
FinTech Exchange,https://www.fintechchicago.com/stx,"Apr, 25–26",Chicago,USA,https://twitter.com/FinTechChicago,,colleen.sheeren@barchart.com
World Blockchain Summit Moscow,https://www.worldblockchainsummit.com/,"Apr, 26",Moscow,Russia,https://twitter.com/tresconglobal,,info@tresconglobal.com
Blockhain Summit Kyiv,http://blockchainsummit.com.ua/en,"Apr, 26",Kyiv,Ukraine,,,natali@growup.group
The Blockchain Summit — Crypto Valley,https://blockchainsummit.ch/,"Apr, N/A",Zug,Switzerland,https://twitter.com/blockchain_comp,,contact@blockchaincompetition.ch
State of Digital Money,http://stateofdigitalmoney.com/,"May, 05",Los Angeles,USA,http://www.twitter.com/stateofdm,,media@stateofdigitalmoney.com
Ethereal Summit,https://etherealsummit.com/,"May, 11–12",New York,USA,https://twitter.com/etherealsummit,,info@etherealsummit.com
Consensus 2018,https://www.coindesk.com/events/consensus-2018/,"May, 14–16",New York,USA,,,marc@coindesk.com
"Blockchain, IoT & Machine Learning in Oil & Gas",https://www.iotinoilandgas-europe18.com/,"May, 22–23",London,UK,,,
DataDisrupt,http://www.datadisrupt.com/,"May, 22–24",New York,USA,https://twitter.com/DataDisrupt,,
BlockShow Europe,https://blockshoweurope.com/,May 28–29,Berlin,Germany,https://twitter.com/BlockShowcom,,hi@blockshow.com
Money 20/20 Europe,https://europe.money2020.com/,"Jun, 04–06",Amsterdam,Netherlands,https://twitter.com/money2020,,tiffany@money2020.com
"Blockchain for Finance Conference, APAC",https://blockchainapac.fintecnet.com/,"Jun, 20–21",Singapore,Singapore,,,jtaylor@fintecnet.com
Future of Fintech,http://events.cbinsights.com/future-of-fintech,"Jun, 19–21",New York,USA,,,anand.sanwal@cbinsights.com
Crypto Valley Conference on Blockchain Technology,https://www.cryptovalleyconference.com/,"Jun, 20–22",Zug,Switzerland,,,contact@cryptovalleyconference.com
Blockchain Summit London,http://blockchainsummitlondon.com/,"Jun, 27–28",London,UK,,,hello@nexusmediacom.com
Blockchain Expo Europe,https://blockchain-expo.com/europe/,"Jun, 27–28",Amsterdam,Netherlands,https://twitter.com/Blockchain_Expo,,enquiries@blockchain-expo.com
"DISTRIBUTE 2018, Blockchain Conference",http://www.distribute-conference.com/,"Jun, 28–29",Hamburg,Germany,,,tobias.worzyk@distribute-conference.com
BlockON,http://www.blockonconf.com/,"Jul, 19",Manama,Bahrain,https://twitter.com/SGBlockChain,,
Blockchain Conference 2018,https://www.blockchaindc.com/,Jul 26–27,Washington D.C,USA,,,
India Blockchain Week,https://www.indiablockchainweek.com/,"Sep, 09",Mumbai,India,,,
Blockchain Live,https://blockchainlive.com/,"Sep, 26",London,UK,https://twitter.com/UKBlockchain,,enquiries@blockchainlive.com
DevChain Conference London,http://2018.devchain.io/,"Sep, 27–28",London,UK,https://twitter.com/devchain,,contact@devchain.io
Texas Bitcoin Conference,https://texasbitcoinconference.com/,"Oct, 27–28",Austin,USA,https://twitter.com/texasbitcoin,,kevin@texasbitcoinconference.com
Blockchain 360,https://knect365.com/,"Oct, N/A",,USA,,,georgie.beer@knect365.com
Blockchain Life,https://blockchain-life.com/ru/,Oct 24–25,St Petersburg,Russia,,,info@blockchain-life.com
DECENTRALIZED,https://www.decentralized.com/,"Nov, 14–16",Limassol,Cyprus,https://twitter.com/_Decentralized_,,decentralized@unic.ac.cy
BlockShow Asia,https://blockshowasia.com/,"Nov, 29–30",Singapore,Singapore,https://twitter.com/BlockShowcom,,hello@blockshowasia.com
Blockchain Expo North America 2018,https://blockchain-expo.com/northamerica/,Nov 28–29,Santa Clara,USA,https://twitter.com/Blockchain_Expo,,enquiries@blockchain-expo.com
Blockchain Opportunity Summit,https://blockchainopp.com/,"Dec, 06",New York,USA,https://twitter.com/momentumeventco,,info@momentumevents.com
